 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)엘씨케이테크놀로지스,서울특별시 ,"서울특별시 강서구 양천로 401, 강서한강자이타워 B동 1504호",37.5642415,126.8426754,도매 및 소매업,중소기업 29,0,0,1,1
(주)엠큐브테크놀로지,서울특별시 ,"서울특별시 중랑구 봉화산로 123, 803호 (상봉동, 신내테크노타운)",37.6038403,127.0876576,제조업,중소기업 60,1,1,1,3
(주)엠토스솔루션스,서울특별시 ,"서울특별시 금천구 가산디지털1로 219, 811호,1112호(가산동, 벽산디지털밸리 6차)",37.4844389,126.8789745,도매 및 소매업,중소기업 59,1,1,1,3
(주)연우피씨엔지니어링,서울특별시 ,"서울특별시 서초구 방배로33길 29, 2층(방배동, 방배한신트리플)",37.4912177,126.9892572,"전문, 과학 및 기술 서비스업",중소기업 55,0,0,1,1
(주)열린기술,서울특별시 ,"서울특별시 강남구 논현로79길 47, 6층(역삼동, 열린기술 빌딩)",37.4963233,127.0349182,정보통신업,중소기업 150,1,1,0,2
(주)영림원소프트랩,서울특별시 ,서울특별시 강서구 양천로 583(우림블루나인 비즈니스센터 A동 23층),37.556904,126.8642901,정보통신업,중소기업 312,1,1,1,3
(주)예지솔루션,서울특별시 ,"서울특별시 금천구 가산디지털2로 166, 3층(가산동, 에이스k1타워)",37.4853698,126.8810751,"전문, 과학 및 기술 서비스업",중소기업 158,0,1,1,2
(주)예평이앤씨,서울특별시 ,"서울특별시 송파구 충민로 10, 8층 S-17호 (문정동, 가든파이브툴)",37.4782316,127.1193703,"전문, 과학 및 기술 서비스업",중소기업 33,1,1,1,3
(주)오메가포인트,서울특별시 ,"서울특별시 서초구 강남대로93길 9, 금강헌빌딩 1~3층",37.5124221,127.0197348,정보통신업,중소기업 36,0,0,1,1
(주)오엠인터랙티브,서울특별시 ,"서울특별시 성동구 성수이로22길 37, 502호 (성수동2가, 성수동 아크벨리)",37.5438837,127.0613025,정보통신업,중소기업 24,0,1,1,2
(주)오픈오브젝트,서울특별시 ,"서울특별시 구로구 디지털로 288, 1306호(대륭포스트타워 1차) ",37.4835267,126.8954883,정보통신업,중소기업 89,0,0,1,1
(주)오픈잇,서울특별시 ,"서울특별시 성동구 아차산로17길 57, 607~609호 (성수동2가, 일신건영휴먼테코)",37.5474311,127.0658413,정보통신업,중소기업 47,1,0,0,1
(주)오픈프레스,서울특별시 ,"서울특별시 성동구 상원1길 26, 서울숲에이타워 406호,407호",37.5461925,127.0481679,"전문, 과학 및 기술 서비스업",중소기업 15,0,0,1,1
(주)오픈한,서울특별시 ,"서울특별시 중랑구 겸재로 121, 오즈빌딩 (면목동)",37.5871487,127.0813099,도매 및 소매업,중소기업 38,1,1,1,3
(주)온피아,서울특별시 ,"서울특별시 구로구 디지털로33길 55, 405호(구로동, 이엔씨벤처드림타워2차)",37.487013,126.8931959,정보통신업,중소기업 32,0,0,1,1
(주)와우소프트,서울특별시 ,"서울특별시 구로구 디지털로33길 28, 812~814호(구로동, 우림이비지센터)",37.4869767,126.8952883,정보통신업,중소기업 47,1,0,1,2
