 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)다미화학,"서울특별시 금천구 가산디지털2로 184, 709호(가산동,벽산디지털밸리2차)",도매 및 소매업,중소기업 21,0,1,0,1
(주)다하미커뮤니케이션즈,"서울특별시 중구 마른내로 140, 5층(쌍림동,인쇄정보센터)",정보통신업,중소기업 54,0,1,1,2
(주)핀샷,"서울특별시 마포구 매봉산로 18, 507호(상암동,마포창업복지관)",정보통신업,중소기업 16,1,0,1,2
(주)아이더스코리아,"서울특별시 강서구 양천로 376, 7~9층(가양동,델타빌딩)","전문, 과학 및 기술 서비스업",중소기업 85,1,1,1,3
(주)동구바이오제약,서울특별시 송파구 법원로 114 엠스테이트B동 14층,제조업,중견기업 365,1,1,1,3
다보코퍼레이션(주),"서울특별시 금천구 가산디지털2로 115, 909호(가산동,대륭테크노타운3차) ",도매 및 소매업,중소기업 40,0,0,1,1
코리아스펙트랄프로덕츠(주),"서울특별시 구로구 디지털로 273, 407호(구로동,에이스트윈타워2차) ",제조업,중소기업 25,1,1,1,3
(주)지테크시스템,"서울특별시 금천구 가산디지털2로 70, 817,1901~1906,1916~1918호(가산동,대륭테크노타운19차)",제조업,중소기업 58,1,0,1,2
주식회사 웰비아닷컴,"서울특별시 금천구 가산디지털1로 145, 1107호(가산동,에이스하이엔드타워3차)",정보통신업,중소기업 9,1,0,0,1
넥시큐어시스템테크놀로지(주),"서울특별시 영등포구 국회대로68길 11, 401호(여의도동,삼보호정빌딩)",정보통신업,중소기업 27,0,0,1,1
(주)메이드인헤븐,"서울특별시 구로구 디지털로 306, 614호(구로동,대륭포스트타워2차) ",정보통신업,중소기업 57,1,1,1,3
티엔씨파트너(주),"서울특별시 구로구 디지털로33길 50, 705호(구로동,벽산디지털밸리7차)",정보통신업,중소기업 14,0,0,1,1
주식회사 에스엘디티,서울특별시 성동구 아차산로 9길 12(성수동2가),정보통신업,중소기업 100,1,1,1,3
(주)나온웍스,"서울특별시 구로구 디지털로 271, 711호(구로동,벽산디지털밸리3차)",정보통신업,중소기업 35,0,1,0,1
비컴솔루션(주),"서울특별시 강남구 도곡로2길 10, 6층(도곡동,뱅뱅별관)",정보통신업,중소기업 100,0,0,1,1
주식회사 에코아이티,"서울특별시 강남구 테헤란로78길 14-6, 5층(대치동,동성빌딩)",정보통신업,중소기업 133,0,0,1,1
(주)유투바이오,"서울특별시 송파구 거마로 61, 5층(마천동,한스어반타워)","전문, 과학 및 기술 서비스업",중소기업 76,1,1,1,3
(주)이지미디어,"서울특별시 구로구 디지털로33길 28, 1201~1204호(구로동,우림이비지센터1차)",정보통신업,중소기업 97,1,1,1,3
(주)레드소프트,"서울특별시 구로구 디지털로31길 38-21, 309호(구로동,이앤씨벤처드림타워3차)",정보통신업,중소기업 27,0,1,1,2
